,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Blurry,94.79776042582039,94.79776042582039,94.79776042582039,94.79776042582039,94.80529262597605,94.80780335936127,94.82035702628738,94.83291069321349,94.85801802706571,94.90070049461448,94.90823269477015,95.01619423033468,95.00615129679379,95.06640889803911,95.19194556730021,95.2371387682342,95.3049285696352,95.2823319691682,95.36769690426574,95.42795450551105,95.3852720379623,95.62379170955836,95.53842677446082,95.58613070878003,95.64638831002536,95.7769464460569,95.52587310753471,95.72924251173768,95.58110924200959,95.75183911220468,95.84724698084311,95.78698937959778,95.75183911220468,95.76439277913079,95.84473624745789,95.7995430465239,95.82967184714656,95.7995430465239,95.9275904491702,95.76690351251601,95.93512264932586,95.88741871500666,95.98784805041552,95.8924401817771,95.879886514851,95.83218258053178,95.91503678224409,95.9275904491702,95.789500112983,95.95269778302242
Brown_Hair,79.5450551105978,80.06728765472394,81.63398528710236,82.24911496648171,83.84343066609756,83.51954605940395,84.674483416606,84.40583494438725,85.5155791006553,85.70890557131739,84.92555675512817,86.20854151497653,86.07798337894499,86.46463632026915,86.16334831404254,86.3215245173115,86.30143865022973,86.78349946019232,86.27130984960706,86.4018679856386,86.62783399030857,86.78349946019232,85.8269100404228,86.55753345552236,86.68307012478346,87.03206206532928,87.06470159933717,87.05214793241106,86.92661126314997,87.24547440307313,87.20530266890958,87.18772753521304,87.16513093474605,86.20603078159131,87.05465866579628,86.90652539606819,87.12746993396772,87.13249140073816,87.24045293630269,87.0345727987145,87.32581787140023,86.94418639684652,87.35845740540812,87.11993773381205,87.0220191317884,86.6428983906199,86.95674006377263,87.30071053754801,87.06972306610761,87.22538853599136
Bushy_Eyebrows,85.5607723015893,87.00695473147707,87.40365060634211,87.30071053754801,87.84302894875593,87.70744934595395,87.98111928494313,87.6321273443973,88.1970423560722,88.126741821286,88.55105576338849,88.78957543498456,89.0004770393432,89.51015591654323,89.83655125662206,89.70599312059052,89.60054231841121,90.05498506113636,90.14286072961912,90.3010369328881,90.38640186798564,90.54457807125462,90.33869793366642,90.4968741369354,89.69846092043485,90.78309774285069,90.63245373973737,90.956338346431,90.7052650079088,90.7504582088428,90.3813804012152,90.89859147857089,91.12204674985563,91.29528735343594,90.80318360993246,91.14715408370785,91.35805568806649,91.18481508448617,90.79816214316202,91.01157448090588,90.7153079414497,91.01910668106154,91.05425694845465,91.06429988199552,91.0366818147581,91.2676692861985,91.14966481709307,91.52125335810591,90.99651008059455,91.25511561927239
Chubby,94.10730874488438,94.1098194782696,94.17509854628537,94.24539908107158,94.26548494815336,94.31821034924302,94.408596751111,94.44625775188932,94.45378995204499,94.6044339551583,94.6270305556253,94.5592407542243,94.64209495593663,94.6847774234854,94.79524969243516,94.69482035702629,94.57932662130608,94.84295362675438,94.8103140927465,94.69733109041151,94.91827562831104,94.78018529212383,94.7073740239524,94.80278189259083,94.96597956263024,94.88061462753271,94.9258078284667,94.90572196138493,95.03376936403123,94.88061462753271,95.12917723266966,94.7199276908785,95.09151623189133,94.9961083632529,95.03125863064601,95.04632303095734,95.11160209897311,95.19194556730021,95.07143036480956,95.07645183158,94.99108689648246,95.18190263375932,95.04381229757212,95.16432750006277,95.0413015641869,95.19194556730021,95.20449923422632,95.08398403173567,95.22709583469332,95.03879083080167
Double_Chin,95.36518617088052,95.36769690426574,95.48067990660071,95.54595897461648,95.55851264154259,95.55349117477215,95.61374877601747,95.6740063772628,95.71668884481157,95.70664591127068,95.80205377990912,95.68404931080369,95.834693313917,95.7769464460569,95.89997238193276,95.87737578146577,95.7091566446559,95.89495091516231,95.89746164854753,95.857289914384,95.93763338271108,95.96776218333375,95.86231138115444,95.85980064776922,96.00291245072685,95.82213964699089,96.01546611765296,95.97278365010419,96.06317005197218,95.9049938487032,96.09329885259484,95.8924401817771,96.00040171734163,96.04057345150518,96.06317005197218,96.05814858520174,96.10334178613573,96.19372818800372,96.15355645384017,96.18368525446283,95.98282658364508,96.16611012076628,96.11840618644706,96.18368525446283,96.14853498706972,96.25649652263427,96.0656807853574,96.11589545306184,96.16359938738105,96.13849205352884
Eyeglasses,93.38672826332572,93.7984885385021,95.04632303095734,96.9519696703407,98.20231489618118,98.83250897587185,98.99570664591127,99.12626478194281,98.8726807100354,99.17899018303247,99.23422631750735,99.32963418614577,99.34720931984232,99.3798488538502,99.30201611890833,99.43508498832509,99.3221019859901,99.42755278816942,99.30703758567877,99.41750985462853,99.4024454543172,99.45517085540686,99.37482738707976,99.4476386552512,99.39742398754676,99.35474151999799,99.41499912124331,99.39240252077632,99.35223078661276,99.3898917873911,99.33214491953099,99.45266012202164,99.4702352557182,99.31708051921966,99.45768158879208,99.55308945743052,99.37231665369454,99.56062165758618,99.4702352557182,99.55308945743052,99.53300359034874,99.54304652388963,99.4827889226443,99.51040698988174,99.52547139019308,99.51040698988174,99.5053855231113,99.47274598910342,99.4702352557182,99.5405357905044
Goatee,93.55996886690602,93.89138567375531,94.98857616309724,95.18692410052977,95.47816917321549,95.61123804263225,95.63132390971403,95.74430691204901,95.56353410831304,95.98784805041552,95.87235431469533,96.0079339174973,96.00040171734163,96.02299831780863,95.99035878380074,96.18870672123327,95.87486504808055,96.0430841848904,96.20628185492983,96.12593838660273,96.2037711215446,96.2489643224786,96.05814858520174,96.17113158753672,96.23641065555249,96.0305305179643,96.36194732481358,96.1460242536845,96.24143212232293,96.24645358909338,96.27407165633082,96.22385698862638,96.50505912777122,96.3996083255919,96.23389992216727,96.22134625524116,96.3996083255919,96.1912174546185,96.3996083255919,96.17615305430716,96.21632478847071,96.41216199251801,96.37952245851012,96.40965125913279,96.479951793919,96.39207612543623,96.47744106053378,96.33935072434659,96.27909312310126,96.53267719500866
Gray_Hair,95.72171031158202,95.92005824901453,96.4222049260589,96.61302066333576,96.70842853197419,96.82894373446484,96.89171206909538,97.01222727158603,96.9293730698737,97.07248487283135,97.1001029400688,97.0549097391348,97.32857967812399,97.20806447563334,97.26581134349344,97.34866554520575,97.28589721057521,97.25576840995255,97.30347234427177,97.39385874613974,97.27836501041955,97.42649828014763,97.4114338798363,97.40641241306585,97.53697054909739,97.40892314645107,97.6072710838836,97.4691807476964,97.64493208466193,97.53445981571217,97.44407341384418,97.5947174169575,97.48173441462251,97.3411333450501,97.52943834894172,97.46415928092595,97.68008235205504,97.73531848652992,97.54450274925306,97.6750608852846,97.68008235205504,97.70016821913681,97.48926661477817,97.66752868512893,97.60476035049838,97.71272188606292,97.59722815034272,97.56207788294961,97.56458861633483,97.6750608852846
Heavy_Makeup,90.33869793366642,91.22498681864973,91.3254161540586,91.41831328931181,91.59657535966255,91.68696176153054,91.65432222752266,91.8200306309473,91.69700469507143,91.80245549725075,91.8200306309473,91.89033116573351,91.98824976775717,91.97067463406061,91.7748374300133,92.02088930176505,92.06106103592859,92.06106103592859,92.04348590223204,92.13889377087047,92.12885083732958,92.0033141680685,92.18659770518968,92.12885083732958,92.18408697180446,92.27698410705767,92.27698410705767,92.19664063873057,92.32468804137689,92.37741344246655,92.28200557382812,92.33473097491778,92.14140450425569,92.2794948404429,92.31715584122122,92.08616836978081,92.32970950814733,92.31715584122122,92.38745637600744,92.33473097491778,91.98573903437195,92.33222024153255,91.99076050114239,92.29455924075423,92.21923723919757,92.25438750659067,92.39247784277788,92.30209144090989,92.32970950814733,92.3497953752291
High_Cheekbones,82.48512390469256,84.64184388259811,85.14147982625725,85.99763991061789,86.2637776494514,86.4596148534987,86.84124632805242,86.96929373069874,87.01448693163273,87.17768460167215,86.90903612945341,87.21283486906525,87.16513093474605,87.00695473147707,87.34841447186723,87.23794220291747,87.1601094679756,86.96929373069874,87.24296366968791,87.50156920836577,87.36598960556378,87.40365060634211,87.22538853599136,87.0446157322554,87.47646187451355,87.37352180571945,87.1375128675086,87.14755580104949,87.08227673303372,87.38356473926034,87.413693539883,87.22538853599136,87.02955133194406,87.31326420447412,87.49152627482488,87.44382234050566,87.15508800120516,87.5743804765372,87.40867207311256,87.60450927715986,87.21032413568003,87.46641894097266,87.06470159933717,87.40365060634211,87.5392302091441,87.38105400587511,86.97180446408396,87.10989480027116,87.64970247809386,87.54927314268498
Male,95.43799743905194,96.69085339827764,97.29342941073088,97.39636947952496,97.90102688995455,97.97634889151121,98.05167089306786,98.07677822692008,98.01652062567476,98.12950362800974,98.27512616435261,98.22993296341862,98.29019056466394,98.26759396419695,98.25252956388562,98.31780863190137,98.36300183283537,98.36049109945014,98.37053403299103,98.41823796731025,98.3780662331467,98.32785156544226,98.41070576715458,98.35044816590926,98.37555549976148,98.45338823470335,98.45589896808858,98.49104923548168,98.3906199000728,98.41823796731025,98.45087750131813,98.48853850209646,98.45087750131813,98.47096336839991,98.36049109945014,98.42325943408069,98.46343116824424,98.44585603454769,98.50862436917824,98.50109216902257,98.45589896808858,98.43330236762158,98.47849556855557,98.42577016746591,98.42577016746591,98.4358131010068,98.40568430038414,98.46092043485902,98.47347410178513,98.45087750131813
Mouth_Slightly_Open,81.21720354515554,83.4793743252404,87.31326420447412,89.62816038564864,91.05174621506943,91.3254161540586,92.68121218207838,92.67619071530794,92.69878731577494,92.87453865274047,93.15071932511486,93.39174973009617,93.26119159406463,93.47711466519371,93.55494740013557,93.75078460418288,93.58507620075824,93.60014060106957,93.49217906550503,93.8210851389691,93.68048406939667,93.52732933289813,93.65537673554445,93.28880966130207,93.80602073865776,93.83866027266565,93.91147154083708,93.46707173165282,93.45702879811193,93.87381054005876,93.95415400838586,93.84870320620654,93.66290893570012,93.40430339702228,93.78342413819077,93.81355293881343,93.78091340480555,93.8436817394361,93.4068141304075,93.77087047126466,93.57252253383213,93.80602073865776,93.68299480278189,93.79597780511688,93.9014286072962,93.8336388058952,93.75580607095333,93.59009766752868,93.81104220542821,93.72316653694544
Mustache,95.87737578146577,95.87737578146577,95.87737578146577,95.879886514851,95.88490798162144,95.86231138115444,95.87486504808055,95.8698435813101,95.87737578146577,95.8924401817771,95.879886514851,95.88992944839188,95.88490798162144,95.88992944839188,95.879886514851,95.94265484948153,95.9049938487032,95.94265484948153,95.91754751562931,95.88992944839188,95.9627407165633,95.99286951718597,95.94516558286675,95.93763338271108,95.99035878380074,95.96776218333375,95.99789098395641,95.99035878380074,96.00040171734163,95.98031585025986,96.00040171734163,95.99789098395641,96.06317005197218,96.08325591905395,96.0204875844234,96.0305305179643,96.0305305179643,96.00040171734163,96.05563785181651,95.99538025057119,95.9853373170303,96.1108739862914,95.99286951718597,96.13095985337317,96.06065931858696,96.12593838660273,96.10585251952095,96.0430841848904,96.08325591905395,96.09329885259484
Narrow_Eyes,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.30751462502197,88.31002535840719,88.31253609179241,88.31504682517763,88.31002535840719,88.32006829194808,88.32006829194808,88.33262195887418,88.33764342564463,88.3225790253333,88.32760049210374,88.32760049210374,88.3225790253333,88.34015415902985,88.36275075949685,88.35019709257074,88.4255190941274,88.4380727610535,88.4029224936604,88.40543322704562,88.47322302844661,88.48828742875794,88.4606693615205,88.44058349443873,88.53348062969194
No_Beard,89.62062818549298,93.86627833990309,94.69984182379673,95.22960656807854,95.34761103718397,95.41540083858494,95.31999296994653,95.51080870722338,95.60370584247659,95.60621657586181,95.66898491049236,95.64889904341058,95.75183911220468,95.74430691204901,95.69409224434457,95.77945717944212,95.83218258053178,95.85980064776922,95.75937131236034,95.92005824901453,95.91503678224409,95.83971478068744,95.92005824901453,95.92507971578497,96.0204875844234,95.7769464460569,95.82716111376133,95.86231138115444,95.98282658364508,95.94516558286675,95.81962891360567,95.6966029777298,95.69158151095935,95.74932837881946,96.07321298551307,95.73426397850812,95.80205377990912,95.93512264932586,95.88992944839188,95.97780511687463,96.01546611765296,95.79201084636823,96.06819151874262,95.84724698084311,95.58361997539481,95.91001531547364,95.5359160410756,95.66145271033669,95.95269778302242,95.58361997539481
Oval_Face,71.6513093474604,71.97519395415401,72.21371362575009,72.27146049361018,72.8489291722112,72.3995078962565,72.97195510808707,73.10753471088906,72.96693364131663,73.47159105174622,73.66742825579352,72.81880037158854,73.53184865299154,73.71764292349795,73.80300785859549,73.44899445127922,74.2524291345502,73.83313665921816,74.00637726279847,74.00888799618369,74.13944613221523,74.23485400085364,73.81305079213638,74.49597027291672,74.01139872956891,73.97122699540536,73.87832986015215,73.99633432925758,74.14697833237089,74.56124934093249,74.38047653719651,74.35034773657385,73.97875919556103,74.53112054030983,74.92028421501921,74.08672073112557,74.93785934871576,74.70938261066057,75.44753822591579,75.04079941750986,75.14625021968916,74.35285846995907,75.01820281704286,75.06088528459163,75.6559290968892,74.49597027291672,74.58384594139949,75.43247382560446,75.88189510155917,75.00815988350197
