,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Blurry,87.03708353209974,87.79030354766627,88.91762283763089,89.88927665771172,90.17801099701221,90.46423460292752,90.43410580230486,91.73717642923498,92.33975244168822,91.68445102814532,92.0033141680685,92.246855306435,92.64104044791485,92.76657711717593,92.86198498581436,92.56571844635819,93.25868086067939,93.02518265585377,93.09548319064,93.4419643978006,93.56499033367645,93.48715759873457,93.39928193025185,93.44447513118584,93.45451806472671,93.47962539857893,93.52732933289812,93.43192146425972,93.51728639935725,93.57252253383213,93.75831680433856,93.85874613974742,93.98177207562328,93.58507620075822,93.64031233523312,93.84117100605087,93.5926084009139,93.49217906550504,93.48715759873457,93.37668532978485,93.5926084009139,93.75831680433856,93.75329533756809,93.90896080745186,93.90393934068142,93.54239373320948,93.73320947048632,93.37668532978485,93.5449044665947,93.89389640714052,94.04705114363905,94.14245901227748,93.95415400838587,94.45127921865976,94.21024881367849,94.11735167842528,94.09726581134348,93.73320947048632,94.18765221321148,93.84619247282131
Brown_Hair,72.36937909563383,77.78000954078686,80.63220266639884,81.82731175776445,82.7989655778453,83.74049059730349,84.27025534158528,84.51128574656656,84.89542795450552,85.25446282859224,85.16407642672425,85.31220969645233,85.44778929925431,85.31472042983755,85.59843330236762,85.72648070501393,85.60094403575285,85.85954957443069,85.84197444073413,85.83695297396369,85.92482864244646,86.06291897863365,86.07798337894499,86.04032237816665,86.13824098019032,86.04534384493711,86.03781164478144,86.11815511310854,85.7917597730297,86.08802631248587,86.14326244696078,86.26879911622184,86.15079464711643,86.36671771824551,86.27130984960706,86.28888498330362,86.37424991840116,86.25122398252529,86.43199678626127,86.55000125536671,86.04785457832233,86.25373471591051,86.39935725225338,86.44455045318738,86.15581611388687,86.43199678626127,86.28637424991841,86.62532325692335,86.31650305054106,86.59268372291548,86.40940018579425,86.51485098797359,86.4721685204248,85.92733937583168,86.60272665645634,86.10811217956766,86.5977051896859,86.21105224836175,86.47718998719526,86.55753345552236
Bushy_Eyebrows,80.04469105425693,83.39400939014286,84.70712295061386,84.70461221722866,85.0887544251676,85.48293956664743,85.87461397474202,86.1482839137312,86.11815511310854,86.6880915915539,86.69562379170955,86.57761932260414,87.23794220291747,86.94920786361696,87.62208441085642,87.64217027793819,87.24547440307312,88.23721409023575,87.72000301288006,87.44382234050566,87.72251374626528,88.18197795576089,88.6665494991087,88.53599136307716,88.57114163047025,88.3250897587185,88.91260137086044,89.34695824650379,89.13605664214516,88.90757990408999,89.29172211202892,89.2214215772427,89.10341710813731,89.35449044665947,89.51266664992846,89.2214215772427,89.69595018704962,89.75620778829494,89.50764518315799,90.17047879685656,89.8742122574004,90.05247432775114,90.10017826207034,89.7712721886063,89.88927665771172,90.02736699389892,90.08762459514423,90.19307539732357,89.75118632152453,89.96962012603882,89.75118632152453,89.82901905646641,90.43159506891963,89.51768811669889,90.12277486253734,90.33869793366642,90.20311833086443,90.04494212759548,89.94702352557181,90.32363353335508
Chubby,88.66906023249392,90.22320419794623,90.96889201335709,91.31286248713249,91.81500916417687,91.92045996635618,91.86773456526652,92.12634010394436,92.40001004293354,92.21923723919755,92.25940897336113,92.201662105501,92.30962364106556,92.19412990534536,92.57325064651384,91.88028823219265,92.37741344246656,92.09872203670693,92.75653418363504,92.20919430565668,91.75977302970198,92.97747872153455,91.93552436666752,92.39749930954832,92.337241708303,91.99327123452758,92.36234904215523,92.81930251826559,92.23932310627933,92.46026764417887,93.07288659017297,92.01084636822416,92.28702704059856,91.97318536744585,92.6033794471365,93.01513972231287,92.69627658238971,92.86198498581436,92.39749930954832,92.78917371764292,92.83436691857693,92.79419518441335,92.27447337367242,93.13565492480352,93.17582665896707,93.20846619297495,92.95488212106756,92.73644831655326,92.03846443546159,93.22604132667152,92.77662005071682,93.06786512340254,93.36915312962915,92.80423811795427,93.15071932511486,93.45953953149716,93.3390243290065,93.17331592558186,92.4979286449572,92.50546084511286
Double_Chin,89.35700118004469,91.46601722363104,92.45022471063798,92.81930251826559,93.13816565818877,93.22855206005674,93.25868086067939,93.31642772853952,93.68299480278186,93.4720931984233,93.57503326721735,93.45953953149716,93.6026513344548,93.35659946270306,93.74827387079765,93.2963418614577,93.43192146425972,93.45953953149716,93.85121393959177,93.3967711968666,92.78917371764292,94.12739461196615,93.20093399281929,93.57754400060257,93.51728639935725,93.3741745963996,93.5449044665947,94.14999121243315,93.47711466519371,93.72065580356022,94.37595721710312,93.19591252604886,93.37668532978485,93.26621306083507,93.6252479349218,94.10228727811392,93.83866027266563,93.96921840869715,93.48966833211979,93.9466218082302,94.08471214441738,93.92151447437796,93.33651359562128,94.42617188480757,94.2002058801376,94.48140801928244,93.95164327500065,93.99181500916416,93.19089105927841,94.44876848527454,93.75831680433856,94.18263074644103,94.44123628511886,93.66793040247057,94.386000150644,94.66971302317408,94.28808154862035,94.33578548293957,93.50222199904593,93.69303773632278
Eyeglasses,87.76017474704359,90.57219613849207,93.0854402570991,96.06317005197218,97.63237841773581,98.53875316980091,98.6768435059881,98.93293831128072,99.02332471314872,99.10617891486105,99.12375404855759,99.22418338396645,99.20911898365513,99.3346556529162,99.28444098521177,99.3346556529162,99.28946245198222,99.3672951869241,99.31959125260487,99.38487032062064,99.36227372015364,99.41499912124331,99.41750985462852,99.44010645509552,99.40997765447287,99.39240252077632,99.42253132139898,99.45517085540686,99.45266012202164,99.42253132139898,99.43257425493988,99.44010645509552,99.42253132139898,99.47776745587385,99.4250420547842,99.43759572171032,99.45266012202164,99.45266012202164,99.38487032062064,99.43006352155464,99.45014938863642,99.43006352155464,99.43759572171032,99.47525672248864,99.45266012202164,99.5154284566522,99.48781038941476,99.41248838785809,99.41499912124331,99.4476386552512,99.44010645509552,99.43508498832509,99.50036405634087,99.43006352155464,99.43006352155464,99.43508498832509,99.48781038941476,99.41499912124331,99.46270305556251,99.49032112279995
Goatee,88.51841622938059,92.54814331266162,93.96921840869715,94.24539908107158,94.27803861507948,94.50651535313463,94.58936955484695,94.6496271560923,94.94338296216324,94.9157648949258,94.79273895904993,94.89818976122926,95.09653769866179,94.92078636169626,95.22709583469332,94.62451982224009,95.05385523111299,94.99108689648244,95.07143036480957,95.16432750006277,95.11913429912876,95.15930603329231,94.95593662908935,95.12666649928444,95.19194556730021,95.23211730146376,95.27982123578299,95.32752517010219,95.3049285696352,95.3049285696352,95.3978257048884,95.26977830224207,95.12666649928444,94.65715935624796,95.6062165758618,95.43046523889628,95.39029350473274,95.25973536870121,95.46812623967459,95.48821210675638,95.21705290115244,95.49825504029728,95.33003590348741,95.47063697305984,95.11160209897312,95.49825504029728,95.24718170177508,95.41791157197015,95.3727183710362,95.47314770644505,95.22207436792287,95.35514323733965,95.38527203796231,95.37020763765095,95.54093750784605,95.66145271033669,95.66898491049237,95.42544377212583,95.48570137337116,95.62128097617314
Gray_Hair,89.64573551934521,92.6586155816114,94.31067814908735,94.74001355796028,95.17437043360366,95.2019885008411,95.40284717165883,95.48821210675638,95.85477918099879,95.52336237414947,95.76188204574557,95.90248311531799,95.95771924979286,96.02801978457909,96.07823445228351,96.00291245072685,96.20879258831505,95.75937131236034,96.21883552185595,95.95771924979286,95.8497577142283,96.37701172512492,96.1560671872254,96.00542318411208,96.13598132014359,96.17615305430715,96.1234276532175,96.36947952496924,96.09580958598008,96.35943659142836,96.68081046473677,96.26905018956036,96.08325591905395,96.07572371889827,96.20879258831505,96.64314946395842,96.36194732481357,96.38454392528057,96.31173265710916,96.53518792839388,96.6079991965653,96.53016646162344,96.09832031936527,96.60046699640965,96.70591779858896,96.65821386426977,96.46237666022243,96.63059579703231,96.41718345928844,96.7661753998343,96.40714052574756,96.63310653041754,96.82643300107962,96.68583193150721,96.66072459765499,96.88417986893973,96.79128273368653,96.84400813477616,96.5502523287052,96.33683999096137
Heavy_Makeup,90.01732406035805,90.71028647467924,90.9914886138241,91.11200381631474,91.28775515328027,91.48359235732758,91.30784102036205,91.38567375530391,91.45848502347536,91.42584548946749,91.7622837630872,91.77232669662807,91.77232669662807,91.59657535966257,91.75977302970198,92.0033141680685,91.78236963016896,91.93050289989706,91.76479449647242,91.91543849958572,91.84764869818474,92.01837856837984,91.97569610083107,91.94054583343795,91.79492329709507,92.1313615707148,92.01837856837984,92.14391523764091,92.26191970674635,91.99829270129807,91.95812096713449,92.0033141680685,92.09370056993649,92.05855030254335,92.1313615707148,91.90288483265962,92.0133571016094,92.15897963795223,92.14140450425569,92.08365763639559,92.07110396946949,92.1313615707148,92.06859323608423,92.1539581711818,92.12634010394436,92.18408697180445,91.91041703281529,92.07612543623993,91.99578196791285,91.83760576464384,92.07612543623993,91.97569610083107,91.94054583343795,91.99578196791285,91.9003740992744,92.15897963795223,91.97067463406059,92.05603956915813,91.99578196791285,92.0033141680685
High_Cheekbones,82.77134751060784,84.31042707574882,85.65366943684249,86.145773180346,86.09304777925631,86.75337065956967,86.80107459388887,86.87639659544554,87.25049586984358,87.20781340229479,87.25049586984358,87.0571693991815,87.24547440307312,87.29066760400713,87.28062467046624,87.3333500715559,87.30071053754801,87.29066760400713,87.33083933817068,87.34841447186724,87.42122574003866,87.38105400587511,87.34088227171156,87.391096939416,87.45135454066134,87.38607547264557,87.3433930050968,87.29568907077757,87.26556027015492,86.70064525848001,87.44382234050566,87.63212734439729,87.50659067513621,87.34088227171156,87.35845740540813,87.46139747420222,87.12998066735294,87.09734113334505,87.29317833739235,87.52165507544754,87.52165507544754,87.53671947575887,87.63965954455297,86.91907906299429,87.549273142685,87.26053880338446,87.56684827638153,87.37854327248989,87.52667654221798,87.20781340229479,87.08729819980417,87.53671947575887,87.3333500715559,87.42373647342389,87.52667654221798,87.04712646564062,87.58442341007809,87.55429460945544,87.52667654221798,87.58944487684853
